Species,Family,CEjuv,Hmax,WD,FCA,PCA,VCA,VD,Dh,Da,Dm,Kp,Distance
Aspidosperma cylindrocarpon,Apocynaceae,1.75,28,0.707,56.7,23.4,20,60.42,0.067,0.061,0.08,29.8,0.08
Aspidosperma rigidum,Apocynaceae,1.56,30,0.705,49.4,34.4,15.9,46.71,0.077,0.071,0.08,39.3,0.1
Batocarpus amazonicus,Moraceae,1.35,26,0.584,53.6,37.7,8.5,1.59,0.287,0.265,0.34,263.2,0.4
Cariniana estrellensis,Lecythidaceae,1.4,42,0.591,48.9,43.8,7.3,13.66,0.102,0.086,0.13,36.7,0.06
Cecropia concolor,Urticaceae,2.44,33,0.366,61.1,32,6.2,0.53,0.411,0.355,0.46,371.2,0.71
Cedrela fissilis,Meliaceae,1.98,29,0.442,26.4,64.2,9.3,18.74,0.08,0.072,0.1,18.8,0.11
Ceiba pentandra,Malvaceae,-,45,0.327,26.4,55.7,16.3,1.17,0.462,0.413,0.49,1298.9,0.64
Cordia alliodora,Boraginaceae,1.95,26,0.496,47.1,41,11.9,13.77,0.116,0.105,0.14,60.9,0.14
Cupania cinerea,Sapindaceae,1.79,22,0.765,48.5,40.5,10.6,25.86,0.086,0.067,0.09,34.2,0.07
Dendropanax arboreus,Araliaceae,1.46,25,0.373,68.9,19.1,12,36.03,0.082,0.073,0.1,39.1,0.07
Erythrochiton fallax,Rutaceae,1.27,5.3,0.675,55,38.9,6,7.66,0.051,0.046,0.06,1.2,0.08
Eugenia sp,Myrtaceae,1.39,6.9,0.677,45.9,51.1,2.7,17.3,0.06,0.056,0.06,5.3,0.12
Ficus boliviana,Moraceae,1.93,46,0.411,53.7,41,5.4,0.91,0.236,0.216,0.26,69.4,0.59
Guarea guidonia,Meliaceae,1.33,9,0.569,27.5,58.1,13.9,3.69,0.251,0.23,0.33,358.6,0.3
Heliocarpus americanus,Malvaceae,2.36,22,0.283,40.4,47.7,11,2.4,0.298,0.25,0.31,459.8,0.28
Hirtella triandra,Chrysobalanaceae,1.28,11,0.639,42.6,49.8,6.9,1.77,0.239,0.215,0.26,140.5,0.43
Hura crepitans,Euphorbiaceae,1.62,44,0.434,65.6,24.9,4.9,0.62,0.376,0.335,0.42,302.1,0.59
Inga edulis,Fabaceae,1.72,25,0.601,46.9,46.9,5.9,5.31,0.148,0.124,0.16,62.7,0.19
Licaria triandra,Lauraceae,1.35,14,0.653,49.2,34.9,15.9,81.46,0.056,0.05,0.06,19.2,0.06
Machaerium villosum,Fabaceae,-,-,-,59.1,37.5,3.4,1.27,0.212,0.193,0.23,62.2,0.56
Maclura tinctoria,Moraceae,1.83,30,0.678,35.5,41.1,23.4,11.88,0.175,0.158,0.2,270,0.16
Margaritaria nobilis,Euphorbiaceae,1.84,30,0.649,41.3,37.2,21.5,13.1,0.226,0.203,0.3,831.5,0.13
Ocotea guianensis,Lauraceae,1.54,25,0.528,59.8,31.5,7.8,87.81,0.053,0.049,0.07,16.6,0.06
Ocotea sp.,Lauraceae,1.37,27,0.549,53.6,28.8,17.7,5.2,0.24,0.233,0.31,419,0.31
Ocotea sp.,Lauraceae,1.34,20,0.574,61.3,22.9,15.8,5.16,0.218,0.208,0.27,284.4,0.3
Ormosia nobilis,Fabaceae,1.46,28,0.644,39.6,51.1,9.3,1.54,0.297,0.266,0.35,294.1,0.37
Picramnia selowii,Simaroubaceae,1.34,7.5,0.631,52.3,36.3,11.4,200.4,0.034,0.031,0.04,6.3,0.03
Pourouma cecropiifolia,Urticaceae,1.38,20,0.411,32.3,53.6,13.8,2.53,0.291,0.265,0.33,445.5,0.4
Pouteria macrophylla,Sapotaceae,1.55,29,0.727,46.9,48.7,4.1,1.28,0.199,0.184,0.23,48.6,0.34
Pouteria nemorosa,Sapotaceae,1.57,35,0.635,31.4,53.9,13.8,32.81,0.08,0.071,0.11,32.5,0.05
Pseudolmedia laevis,Moraceae,1.32,35,0.636,29.7,51,18.9,34.01,0.146,0.132,0.2,378.5,0.08
Sapindus saponaria,Sapindaceae,1.63,22,0.711,41.1,52.4,6,2.27,0.202,0.188,0.24,92.6,0.4
Sapium glandulosum,Euphorbiaceae,2.23,31,0.387,54.6,39.4,4.9,11.08,0.115,0.091,0.11,47.5,0.13
Schizolobium parahyba,Fabaceae,2.39,35,0.428,67.8,26,6.2,0.95,0.29,0.262,0.32,165,0.58
Stylogyne ambigua,Myrsinaceae,1.46,10.2,0.588,45.4,44,10.5,33.95,0.072,0.064,0.09,22.9,0.06
Swietenia macrophylla,Meliaceae,1.62,25,0.539,42.6,49,7.7,3.31,0.205,0.189,0.24,144,0.27
Tabernaemontana australis,Apocynaceae,1.38,16,0.487,53,29.7,17.2,269.5,0.036,0.034,0.05,11.2,0.03
Terminalia oblonga,Combretaceae,1.88,34,0.646,38.1,51.5,9.5,2.09,0.256,0.24,0.29,218.1,0.48
Trema micrantha,Ulmaceae,2.52,31,0.373,66,22.4,11.1,2.39,0.23,0.214,0.25,162.5,0.39
Triplaris americana,Polygonaceae,1.9,14,0.412,73.7,13.4,12.9,9.65,0.091,0.086,0.11,16.1,0.15
Zanthoxylum sprucei,Rutaceae,2.25,31,0.48,37.3,43.2,19,3.4,0.157,0.148,0.18,50.9,0.31
