Order,Family,Genus,Species,Coll.,Num,SD,SL,VD,Dh,Vmm,Self
Alismatales,Araceae,Anthurium,scandens,Olson,4030,0.4,1,24.6,28.3,70.4,nonself
Alismatales,Araceae,Anthurium,scandens,Olson,4031,0.4,1.2,24.6,27.4,56.8,nonself
Alismatales,Araceae,Anthurium,scandens,Olson,4032,0.4,1,21.8,28.9,65.2,nonself
Alismatales,Araceae,Dieffenbachia,seguine,Olson,4091,3.9,0.8,60.6,73.4,3.2,self
Alismatales,Araceae,Dieffenbachia,seguine,Olson,4092,3.6,0.7,75.3,89,5.8,self
Alismatales,Araceae,Dieffenbachia,seguine,Olson,4093,3.6,0.9,62.6,79.8,6.3,self
Apiales,Araliaceae,Aralia,excelsa,Olson,1635,49,,114.1,130.2,25.4,self
Apiales,Araliaceae,Aralia,excelsa,Olson,1636,50,14.3,129,152.8,20.5,self
Apiales,Araliaceae,Aralia,excelsa,Olson,1637,49.3,,116.6,147.6,32.5,self
Apiales,Araliaceae,Aralia,excelsa,Olson,2884,53.2,15.5,121.5,136,20,self
Apiales,Araliaceae,Aralia,excelsa,Olson,2885,43.6,12.9,130.3,148.7,12.9,self
Apiales,Araliaceae,Dendropanax,arboreus,Olson,1354,21.3,9,74.9,86.1,33.2,self
Apiales,Araliaceae,Dendropanax,arboreus,Olson,1355,29,14,83.5,91.6,30.8,self
Apiales,Araliaceae,Dendropanax,arboreus,Olson,1356,15.6,12,69,77.4,32.5,self
Apiales,Araliaceae,Hedera,helix,Olson,2556,0.2,0.8,18,20.2,357.2,nonself
Apiales,Araliaceae,Hedera,helix,Olson,2557,0.2,0.5,20.6,26.4,684.8,nonself
Apiales,Araliaceae,Hedera,helix,Olson,2558,0.3,0.3,17.6,20.9,434.4,nonself
Apiales,Araliaceae,Schefflera,actinophylla,Olson,1867,18,,117.3,127.2,15.7,self
Apiales,Araliaceae,Schefflera,actinophylla,Olson,1871,37.9,,123.9,134,11.9,self
Apiales,Araliaceae,Schefflera,actinophylla,Olson,1872,47.7,,135.9,145,13.1,self
Apiales,Pennantiaceae,Pennantia,cunninghamii,Olson,1917,6.8,2.9,53.7,58.9,84.5,self
Apiales,Pennantiaceae,Pennantia,cunninghamii,Olson,1918,2.9,1.9,46.3,56.6,99.6,self
Apiales,Pennantiaceae,Pennantia,cunninghamii,Olson,2388,26.4,13,48.5,58.3,42.4,self
Apiales,Pennantiaceae,Pennantia,cunninghamii,Olson,2389,12.1,8,47.2,53,49.1,self
Apiales,Pennantiaceae,Pennantia,cunninghamii,Olson,2392,17.8,12,54.9,61.2,43.9,self
Apiales,Pittosporaceae,Billardiera,scandens,Olson,2417,0.5,3.5,39.5,53.8,242.7,nonself
Apiales,Pittosporaceae,Billardiera,scandens,Olson,2418,0.3,0.9,26.7,45.1,485.2,nonself
Apiales,Pittosporaceae,Billardiera,scandens,Olson,2456,0.4,5.4,37.3,55.7,239.8,nonself
Apiales,Pittosporaceae,Bursaria,spinosa,Rosell,1,5.9,,26,33.8,69.3,self
Apiales,Pittosporaceae,Bursaria,spinosa,Rosell,2,7,,31,38.4,82,self
Apiales,Pittosporaceae,Bursaria,spinosa,Rosell,5,7.1,,34.8,40.2,90.5,self
Apiales,Pittosporaceae,Pittosporum,undulatum,Olson,4125,15.6,12.5,48.5,57.7,77,self
Apiales,Pittosporaceae,Pittosporum,undulatum,Olson,4178,16.2,9.9,45.5,57.1,64.3,self
Apiales,Pittosporaceae,Pittosporum,undulatum,Olson,4179,24.8,11,46.8,56.8,61.3,self
Aquifoliales,Cardiopteridaceae,Citronella,smythii,Olson,1856,5.7,5.2,64.3,68.5,12.5,self
Aquifoliales,Cardiopteridaceae,Citronella,smythii,Olson,1864,6.4,5.2,62.4,72.5,18.3,self
Aquifoliales,Cardiopteridaceae,Citronella,smythii,Olson,1865,8,6.5,71,77.1,16.7,self
Aquifoliales,Stemonuraceae,Gomphandra,australiana,Rosell,1,25.3,15,102.7,110.9,8.6,self
Aquifoliales,Stemonuraceae,Gomphandra,australiana,Rosell,2,15.3,13,84.5,94.1,14.7,self
Aquifoliales,Stemonuraceae,Gomphandra,australiana,Rosell,3,19.7,14.2,117.5,121.7,10,self
Aquifoliales,Stemonuraceae,Irvingbaileya,australis,Olson,1896,22.9,,94.4,102.5,21.8,self
Arecales,Arecaceae,Astrocaryum,mexicanum,Olson,1360,8,,56.5,66,1.9,self
Arecales,Arecaceae,Astrocaryum,mexicanum,Olson,1386,7.3,,70.7,85,2.4,self
Arecales,Arecaceae,Astrocaryum,mexicanum,Olson,4051,5.9,3.7,94.9,111.5,2.4,self
Arecales,Arecaceae,Astrocaryum,mexicanum,Olson,4108,5.9,3.6,52.7,54.5,2.7,self
Arecales,Arecaceae,Astrocaryum,mexicanum,Olson,4109,5.8,3.4,56.3,76.6,4.4,self
Arecales,Arecaceae,Bactris,trichophylla,Olson,4088,2.8,2.9,81.4,101.6,25.9,self
